text
애정담아 7줍니다..그냥 읭스럽고 너무너무 좋게만 풀려가는게 끝물인것같기도하고..그래도 분노의질주 사랑해요.. 분노의질주 특유의 차 때려뿌시는 것만 봐줄만했음요빌런도 너무 약하고; 뻔한스토리에... 영웅물보는줄
자동차터지는맛에봄
"연출, 영상미, 스토리 모두 기대이하입니다. 액션만 볼만 합니다."
그냥 막장 스토리와 비슷한 느낌..  아무리 영화라지만 인간들의 영화를 이런 공감이라고는 전혀할 수 없는 영화를 만들다니..차라리 슈퍼히어로물이라면 이해가가겠다.. 분노의질주 시리즈 중 최악..
분노의질주 팬으로서 영화보고 집에 가는 길.. 분노의 질주를 했다
1편부터 지금까지 다봤는데 시리즈중 가장 별로 점점 액션 오바 넘치는건 알겠지만 너무 심함 다음편 기대가 안되네요
개봉일에  보고 생각나서 네이버 들어왔는데 성강 배우 그리팅 영상 보고 빵터짐 ㅋㅋㅋㅋ 강성홉니다~!ㅋㅋㅋㅋ 영화 두번 봤는데 또 보고싶다.
역시 영화는 뭐니뭐니 해두 극장에서 딱 봐야 제대로 즐기지
지금까지 분노의 질주 시리즈 다봤는데 이번작은 액션이 진짜 너무 뇌절인듯 그냥 머리비우고 보기는 ㄱㅊ음
역대급1OO영화같아 한국식 즙짜기 오지게 느껴진다 나쁜거만 배워 적용한듯
애정담아 7줍니다..그냥 읭스럽고 너무너무 좋게만 풀려가는게 끝물인것같기도하고..그래도 분노의질주 사랑해요.. 분노의질주 특유의 차 때려뿌시는 것만 봐줄만했음요빌런도 너무 약하고; 뻔한스토리에... 영웅물보는줄
자동차터지는맛에봄
"연출, 영상미, 스토리 모두 기대이하입니다. 액션만 볼만 합니다."
그냥 막장 스토리와 비슷한 느낌..  아무리 영화라지만 인간들의 영화를 이런 공감이라고는 전혀할 수 없는 영화를 만들다니..차라리 슈퍼히어로물이라면 이해가가겠다.. 분노의질주 시리즈 중 최악..
분노의질주 팬으로서 영화보고 집에 가는 길.. 분노의 질주를 했다
1편부터 지금까지 다봤는데 시리즈중 가장 별로 점점 액션 오바 넘치는건 알겠지만 너무 심함 다음편 기대가 안되네요
개봉일에  보고 생각나서 네이버 들어왔는데 성강 배우 그리팅 영상 보고 빵터짐 ㅋㅋㅋㅋ 강성홉니다~!ㅋㅋㅋㅋ 영화 두번 봤는데 또 보고싶다.
역시 영화는 뭐니뭐니 해두 극장에서 딱 봐야 제대로 즐기지
지금까지 분노의 질주 시리즈 다봤는데 이번작은 액션이 진짜 너무 뇌절인듯 그냥 머리비우고 보기는 ㄱㅊ음
역대급1OO영화같아 한국식 즙짜기 오지게 느껴진다 나쁜거만 배워 적용한듯
애정담아 7줍니다..그냥 읭스럽고 너무너무 좋게만 풀려가는게 끝물인것같기도하고..그래도 분노의질주 사랑해요.. 분노의질주 특유의 차 때려뿌시는 것만 봐줄만했음요빌런도 너무 약하고; 뻔한스토리에... 영웅물보는줄
자동차터지는맛에봄
"연출, 영상미, 스토리 모두 기대이하입니다. 액션만 볼만 합니다."
그냥 막장 스토리와 비슷한 느낌..  아무리 영화라지만 인간들의 영화를 이런 공감이라고는 전혀할 수 없는 영화를 만들다니..차라리 슈퍼히어로물이라면 이해가가겠다.. 분노의질주 시리즈 중 최악..
분노의질주 팬으로서 영화보고 집에 가는 길.. 분노의 질주를 했다
1편부터 지금까지 다봤는데 시리즈중 가장 별로 점점 액션 오바 넘치는건 알겠지만 너무 심함 다음편 기대가 안되네요
개봉일에  보고 생각나서 네이버 들어왔는데 성강 배우 그리팅 영상 보고 빵터짐 ㅋㅋㅋㅋ 강성홉니다~!ㅋㅋㅋㅋ 영화 두번 봤는데 또 보고싶다.
